category,main_prompt
editing,"APPLY CINEMATIC COLOR GRADING WITH WARM HIGHLIGHTS AND COOL SHADOWS, ENHANCE GOLDEN HOUR WARMTH WHILE MAINTAINING NATURAL SKIN TONES, INCREASE CONTRAST SLIGHTLY FOR MORE DRAMATIC FEEL, PRESERVE DETAIL IN BOTH HIGHLIGHTS AND SHADOWS"
background,"Replace current background with professional studio backdrop in neutral gray, maintain natural lighting on subject consistent with new environment, preserve original subject shadows and edge detail, ensure seamless integration between subject and new background."
retouch,"ENHANCE SKIN TEXTURE TO APPEAR NATURALLY SMOOTH WHILE MAINTAINING REALISTIC PORES AND CHARACTER LINES, ADJUST LIGHTING TO CREATE SUBTLE RIM LIGHTING EFFECT ON HAIR, BRIGHTEN EYES SLIGHTLY FOR MORE ENGAGEMENT, MAINTAIN AUTHENTIC FACIAL EXPRESSION AND NATURAL SKIN TONES"
portrait,"A CONFIDENT BUSINESS EXECUTIVE WITH SALT-AND-PEPPER HAIR, MAKING DIRECT EYE CONTACT WITH THE CAMERA, IN A MODERN CORPORATE OFFICE WITH FLOOR-TO-CEILING WINDOWS, SHOT WITH A 85MM PORTRAIT LENS ON MEDIUM FORMAT FILM, DRAMATIC WINDOW LIGHTING CREATING RIM LIGHT EFFECT, WEARING A TAILORED NAVY SUIT WITH SUBTLE TEXTURE DETAIL, SHALLOW DEPTH OF FIELD ISOLATING THE SUBJECT"
retouch,"APPLY PROFESSIONAL RETOUCHING MAINTAINING NATURAL APPEARANCE, SMOOTH SKIN WHILE PRESERVING CHARACTER LINES AND NATURAL TEXTURE, ENHANCE EYES FOR BETTER ENGAGEMENT, ADJUST LIGHTING FOR MORE FLATTERING APPEARANCE, MAINTAIN AUTHENTIC HUMAN QUALITIES THROUGHOUT"
scifi,"Futuristic sci-fi scene with advanced technology, space elements, cyberpunk aesthetic, neon lights, digital art"
lighting,"ADD DRAMATIC SIDE LIGHTING FROM CAMERA LEFT, CREATING STRONG SHADOWS AND HIGHLIGHTS THAT ENHANCE FACIAL STRUCTURE, MAINTAIN NATURAL SKIN TONES WHILE INCREASING CONTRAST, PRESERVE ORIGINAL IMAGE QUALITY AND DETAIL"
90s movie,"Create a retro, vintage, grainy but bright image of the reference picture, but draped in a perfect beige-colour, Pinterest-y aesthetic retro suit. It must feel like a 90s movie, brown hair, baddie with a small flower tucked visibly into his wavy hair, and a romantic, windy environment. The person is standing against a solid wall, deep shadows and contrast drama, creating a mysterious and artistic atmosphere where the lighting is warm with the golden tones of evoking a sunset or golden hour glow. The background is minimalist and slightly textured; the expression on his face is moody, calm, yet happy and introspective."
1970s suit,"Moody studio portrait of the uploaded person bathed in a golden-orange spotlight, creating a glowing circular halo behind them on the wall. Warm light sculpts the face and upper body with soft, sunset-like tones, casting a strong head shadow to the right. Person styled in a classic 1970s suit with wide lapels and a silk shirt, unbuttoned at the collar."
1970s Bollywood superstar,"Create a full-length photorealistic image of the uploaded person as a 1970s Bollywood superstar. Scene: outside a Mumbai cinema hall during a film premiere, with neon lights marquee, and vintage Bollywood posters on the walls. Style the subject in classic 70s hero fashion: a tailored suit with wide lapels, a silk shirt unbuttoned at the collar, and a gold chain. Hair styled in a voluminous, swept-back look. Surround them with flashing cameras, paparazzi, and a crowd of adoring fans. Add authentic 1970s color grading (warm tones, film grain, cinematic contrast). Capture the aura of a confident, charismatic star."
